time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
1.73333,"(-0.0146554, 0.0135224, -4.47035e-06)","(-0.0418597, 0.944327, 0.326335)","(-0.142577, -0.969219, -0.200713)","(0.113383, -0.98554, -0.12592)","(-0.141378, -0.931345, 0.335574)","(0.153754, -0.888021, 0.433335)","(0.168245, -0.985215, -0.0323187)","(-0.2304, -0.82063, 0.522955)","(0.242304, -0.674343, -0.697531)","(0.234195, -0.773005, -0.58959)",0
1.76667,"(-0.0146554, 0.0135224, -4.47035e-06)","(-0.0610113, 0.959663, 0.274454)","(-0.134799, -0.98258, -0.127931)","(0.130684, -0.97825, -0.161086)","(-0.176296, -0.758071, 0.627892)","(0.174143, -0.912942, 0.369068)","(0.162894, -0.984705, -0.0618194)","(-0.294348, -0.825345, 0.481835)","(0.224198, -0.65814, -0.71874)","(0.115667, -0.943847, -0.309473)",0
1.8,"(-0.014667, 0.00996988, -1.36316e-05)","(-0.0763344, 0.970894, 0.227021)","(-0.131791, -0.990548, 0.0380198)","(0.139539, -0.972928, -0.18423)","(-0.157255, -0.419821, 0.89388)","(0.188192, -0.932611, 0.307929)","(0.179649, -0.980856, -0.0751448)","(-0.32339, -0.874956, 0.360376)","(0.219398, -0.837176, -0.501001)","(0.0159268, -0.977069, -0.212326)",0
1.83333,"(-0.0145368, 0.00353566, -1.59909e-05)","(-0.092039, 0.98256, 0.161572)","(-0.120508, -0.963806, 0.237813)","(0.137626, -0.970393, -0.198487)","(-0.10338, -0.0124279, 0.994564)","(0.209021, -0.942156, 0.262016)","(0.18434, -0.979739, -0.0782976)","(-0.318675, -0.924314, 0.209973)","(0.241949, -0.885184, -0.397379)","(-0.0647544, -0.987972, -0.140423)",0
1.86667,"(-0.0143659, -0.00383276, -1.49939e-05)","(-0.0938702, 0.987917, 0.123326)","(-0.137086, -0.907469, 0.397124)","(0.116727, -0.975965, -0.184032)","(-0.0715701, 0.243089, 0.96736)","(0.207479, -0.934936, 0.287832)","(0.189766, -0.979259, -0.0710036)","(-0.288038, -0.952017, 0.103426)","(0.260953, -0.891882, -0.369393)","(-0.134757, -0.968233, -0.210631)",0
1.9,"(-0.0143533, -0.0108573, -1.2201e-05)","(-0.0950926, 0.99275, 0.0735217)","(-0.149694, -0.847263, 0.509644)","(0.0859859, -0.981144, -0.173098)","(-0.0642332, 0.407436, 0.910972)","(0.198246, -0.936432, 0.28947)","(0.176508, -0.982344, -0.0620139)","(-0.271095, -0.959867, 0.0718481)","(0.292157, -0.871388, -0.394116)","(-0.189766, -0.954029, -0.231986)",0
1.93333,"(-0.0143826, -0.0159626, -1.05573e-05)","(-0.0938573, 0.993212, 0.0687039)","(-0.16695, -0.792685, 0.586326)","(0.039916, -0.985992, -0.161947)","(-0.051415, 0.46518, 0.883722)","(0.167916, -0.941191, 0.293195)","(0.1364, -0.989488, -0.0480388)","(-0.263416, -0.957357, 0.118661)","(0.328098, -0.840456, -0.43126)","(-0.220402, -0.941672, -0.254316)",0
1.96667,"(-0.0146908, -0.0187079, -4.50806e-06)","(-0.0914094, 0.994129, 0.0579031)","(-0.174489, -0.763395, 0.621917)","(-0.00441669, -0.985414, -0.170117)","(-0.0396774, 0.455143, 0.889534)","(0.126362, -0.956847, 0.261679)","(0.0776292, -0.996544, -0.0295724)","(-0.255374, -0.92344, 0.286431)","(0.358404, -0.801364, -0.478918)","(-0.248616, -0.938469, -0.239722)",0
2,"(-0.0146908, -0.0187079, -4.50806e-06)","(-0.0880705, 0.993526, 0.0717619)","(-0.175869, -0.741596, 0.647383)","(-0.0485938, -0.982927, -0.177462)","(-0.0128439, 0.433785, 0.900925)","(0.0803635, -0.966166, 0.245081)","(0.0277969, -0.999577, -0.00850159)","(-0.248752, -0.887749, 0.387329)","(0.308512, -0.710381, -0.632598)","(-0.261165, -0.933542, -0.245546)",0
2.03333,"(-0.0146908, -0.0187079, -4.50806e-06)","(-0.0789983, 0.99345, 0.0825627)","(-0.184342, -0.734036, 0.653612)","(-0.0791319, -0.984436, -0.156919)","(0.0157612, 0.414932, 0.909716)","(0.0531969, -0.968011, 0.245203)","(-0.00151587, -0.999998, 0.00122287)","(-0.254172, -0.889144, 0.38055)","(0.217282, -0.550257, -0.806229)","(-0.251027, -0.925684, -0.28301)",0
