time,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r
2.139997,"(-0.212944, 0.945814, 0.245136)","(-0.37279, -0.646496, -0.665635)","(0.258095, -0.801778, 0.539016)","(-0.317234, -0.47369, 0.821572)","(-0.236432, 0.585216, 0.775644)","(0.114613, -0.916049, 0.384341)","(0.00886, -0.82829, 0.56023)","(-0.138703, -0.842956, -0.519795)","(0.236923, -0.809622, -0.53701)"
2.175802,"(-0.203815, 0.94872, 0.241639)","(-0.333097, -0.608971, -0.719862)","(0.16627, -0.783531, 0.598693)","(-0.474653, -0.573443, 0.667733)","(-0.377335, 0.560147, 0.737464)","(0.099602, -0.937222, 0.334209)","(0.020537, -0.82971, 0.557817)","(-0.082404, -0.878601, -0.470393)","(0.19085, -0.823984, -0.533504)"
2.211223,"(-0.192428, 0.952506, 0.236017)","(-0.300162, -0.555453, -0.775484)","(0.067754, -0.745748, 0.662774)","(-0.601212, -0.593347, 0.535241)","(-0.508319, 0.542057, 0.669168)","(0.086007, -0.955073, 0.283618)","(0.035467, -0.823388, 0.566369)","(-0.03004, -0.906665, -0.420781)","(0.130273, -0.838788, -0.528644)"
2.233775,"(-0.185793, 0.954753, 0.232224)","(-0.284316, -0.521194, -0.804687)","(0.01309, -0.7198, 0.694058)","(-0.659593, -0.577045, 0.481619)","(-0.566504, 0.537464, 0.624665)","(0.081171, -0.961775, 0.261536)","(0.045727, -0.81627, 0.575858)","(-0.006277, -0.916657, -0.399626)","(0.095526, -0.845168, -0.525896)"
2.282822,"(-0.162488, 0.962696, 0.216364)","(-0.247526, -0.40673, -0.879376)","(-0.166635, -0.613707, 0.771749)","(-0.811588, -0.450018, 0.37257)","(-0.701284, 0.540846, 0.464422)","(0.066984, -0.970995, 0.229524)","(0.094699, -0.786991, 0.609654)","(0.042665, -0.926267, -0.374444)","(-0.013757, -0.853202, -0.521399)"
2.300275,"(-0.153641, 0.965702, 0.209318)","(-0.246088, -0.372493, -0.894813)","(-0.231506, -0.571247, 0.787453)","(-0.849748, -0.393461, 0.350879)","(-0.731791, 0.54637, 0.407384)","(0.055829, -0.97044, 0.234798)","(0.120714, -0.775504, 0.619695)","(0.053124, -0.922299, -0.382808)","(-0.054145, -0.851609, -0.521373)"
2.33574,"(-0.134694, 0.972062, 0.192234)","(-0.265699, -0.315495, -0.91097)","(-0.362181, -0.47895, 0.799645)","(-0.901677, -0.279544, 0.329899)","(-0.777126, 0.557231, 0.292523)","(0.019363, -0.96483, 0.262162)","(0.190559, -0.746828, 0.637131)","(0.083788, -0.903821, -0.419628)","(-0.150038, -0.842572, -0.517263)"
2.371577,"(-0.11377, 0.978876, 0.169877)","(-0.312783, -0.274473, -0.909303)","(-0.49558, -0.375553, 0.783174)","(-0.924436, -0.178813, 0.336814)","(-0.802858, 0.568133, 0.180674)","(-0.043153, -0.955305, 0.292456)","(0.281937, -0.711895, 0.643209)","(0.142611, -0.872867, -0.466653)","(-0.267807, -0.825432, -0.496933)"
2.407345,"(-0.091021, 0.985862, 0.140682)","(-0.373177, -0.243514, -0.895232)","(-0.61952, -0.263961, 0.73927)","(-0.928696, -0.08442, 0.361106)","(-0.817979, 0.568449, 0.088179)","(-0.131921, -0.94438, 0.301236)","(0.377981, -0.677606, 0.630858)","(0.2293, -0.834965, -0.500256)","(-0.386814, -0.80167, -0.455742)"
2.442614,"(-0.067135, 0.992368, 0.103439)","(-0.43368, -0.229784, -0.871276)","(-0.719466, -0.161535, 0.675481)","(-0.920324, 0.002588, 0.391149)","(-0.831739, 0.554679, 0.023272)","(-0.223454, -0.933646, 0.279953)","(0.456853, -0.648259, 0.609135)","(0.318261, -0.801038, -0.506999)","(-0.480862, -0.779641, -0.401163)"
2.478367,"(-0.042101, 0.99752, 0.056408)","(-0.491474, -0.241589, -0.836713)","(-0.79305, -0.088501, 0.602694)","(-0.901449, 0.076116, 0.426141)","(-0.849431, 0.527092, -0.025311)","(-0.2932, -0.924082, 0.245165)","(0.508147, -0.626471, 0.591033)","(0.381639, -0.779007, -0.497493)","(-0.543933, -0.765464, -0.343804)"
