time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
1.76843,"(0.00179538, 0.00726506, -7.81412e-07)","(-0.0252756, 0.904158, 0.426449)","(-0.218826, -0.953654, -0.206541)","(0.093745, -0.963337, -0.251383)","(0.106377, -0.946231, 0.305501)","(0.178774, -0.927019, 0.329659)","(0.121896, -0.992542, 0.00155561)","(-0.215528, -0.975816, 0.0364917)","(-0.0664347, -0.962287, -0.263799)","(-0.105315, -0.962183, -0.251224)",0
1.8018,"(0.00232, 0.00919514, 8.21625e-07)","(-0.0249095, 0.903825, 0.427177)","(-0.22088, -0.952522, -0.209557)","(0.0938978, -0.963212, -0.251806)","(0.10733, -0.947272, 0.301922)","(0.178333, -0.926954, 0.33008)","(0.121652, -0.992567, -0.00345875)","(-0.215118, -0.975916, 0.0362349)","(-0.0661624, -0.961801, -0.265634)","(-0.102972, -0.962204, -0.25211)",0
1.83517,"(0.00232, 0.00919514, 8.21625e-07)","(-0.0248864, 0.905385, 0.423862)","(-0.223135, -0.951361, -0.212421)","(0.0962203, -0.962599, -0.253267)","(0.107012, -0.949015, 0.296513)","(0.177553, -0.927413, 0.329211)","(0.121078, -0.992617, -0.00716497)","(-0.21492, -0.975984, 0.0355753)","(-0.0657138, -0.961686, -0.266163)","(-0.0999268, -0.962365, -0.252721)",0
1.86853,"(0.00232, 0.00919514, 8.21625e-07)","(-0.0248581, 0.90743, 0.419468)","(-0.225591, -0.950298, -0.214573)","(0.101211, -0.961461, -0.255635)","(0.106973, -0.950498, 0.291737)","(0.174867, -0.92787, 0.32936)","(0.120362, -0.992681, -0.00990246)","(-0.214169, -0.976176, 0.0348278)","(-0.0645338, -0.961602, -0.266753)","(-0.0950191, -0.962601, -0.253712)",0
1.9019,"(0.00232, 0.00919514, 8.21625e-07)","(-0.0246027, 0.909163, 0.415713)","(-0.230646, -0.947588, -0.221088)","(0.105856, -0.960504, -0.257345)","(0.107529, -0.950269, 0.292279)","(0.171285, -0.927082, 0.333439)","(0.119027, -0.992805, -0.013108)","(-0.213246, -0.976397, 0.034268)","(-0.0605625, -0.961831, -0.26686)","(-0.0880632, -0.962771, -0.255571)",0
1.93527,"(0.00232, 0.00919514, 8.21625e-07)","(-0.0252512, 0.910373, 0.413018)","(-0.23533, -0.945488, -0.225104)","(0.109647, -0.960149, -0.257083)","(0.111791, -0.949811, 0.292166)","(0.168464, -0.925405, 0.339479)","(0.116852, -0.993008, -0.0167552)","(-0.21224, -0.976667, 0.0328022)","(-0.0555951, -0.961639, -0.268625)","(-0.0780961, -0.963128, -0.257459)",0
1.96863,"(0.00210724, 0.00666178, 1.2491e-06)","(-0.0266429, 0.911728, 0.40993)","(-0.239911, -0.943964, -0.226659)","(0.112544, -0.957897, -0.264135)","(0.115816, -0.950207, 0.289298)","(0.168835, -0.923001, 0.34578)","(0.114685, -0.993223, -0.0188554)","(-0.211138, -0.976985, 0.0303613)","(-0.0514501, -0.960822, -0.272351)","(-0.0697195, -0.962853, -0.260871)",0
2.002,"(0.00210724, 0.00666178, 1.2491e-06)","(-0.0313806, 0.914554, 0.403245)","(-0.241057, -0.944796, -0.221929)","(0.126223, -0.95396, -0.272081)","(0.124819, -0.952491, 0.277814)","(0.173145, -0.923008, 0.343623)","(0.113822, -0.99334, -0.0178776)","(-0.209324, -0.977534, 0.0247075)","(-0.0512294, -0.959806, -0.275949)","(-0.0636459, -0.963792, -0.258947)",0
2.03537,"(0.00196127, 0.00341705, -8.51988e-07)","(-0.0383655, 0.917833, 0.395109)","(-0.239429, -0.946277, -0.217334)","(0.148387, -0.948825, -0.278768)","(0.137034, -0.956579, 0.257253)","(0.182192, -0.923837, 0.336648)","(0.11591, -0.993151, -0.0146847)","(-0.207068, -0.978122, 0.0200099)","(-0.0529732, -0.959157, -0.277869)","(-0.0608858, -0.964816, -0.255779)",0
2.06873,"(0.00196127, 0.00341705, -8.51988e-07)","(-0.0445141, 0.920266, 0.388754)","(-0.236178, -0.948206, -0.212427)","(0.169626, -0.945274, -0.27872)","(0.154743, -0.960059, 0.23311)","(0.19293, -0.923468, 0.331639)","(0.119824, -0.99268, -0.0151474)","(-0.204648, -0.978717, 0.0152337)","(-0.051948, -0.958937, -0.278822)","(-0.0565022, -0.96704, -0.248275)",0
